direction,group,area,type,vendor_name,normalized_name,slug,official_site,logo,logo_source_url,status,confidence,source,notes
IT оборудование и ПО,IT-инфраструктура,Информационная безопасность,Информационная безопасность,Kaspersky,Kaspersky,kaspersky,https://www.kaspersky.ru/,,,manual_review_needed,high,codex_it_p0_vendor_fill_20260702,Official inline SVG header logo from kaspersky.ru; stored locally with official brand color.
IT оборудование и ПО,IT-инфраструктура,Информационная безопасность,Информационная безопасность,Positive Technologies,Positive Technologies,positive-technologies,https://ptsecurity.com/,,,manual_review_needed,high,codex_it_p0_vendor_fill_20260702,Official SVG logo from ptsecurity.com; mapped to information security.
IT оборудование и ПО,IT-инфраструктура,Информационная безопасность,Информационная безопасность,UserGate,UserGate,usergate,https://usergate.com/,,,manual_review_needed,medium,codex_it_p0_vendor_fill_20260702,Official UserGate favicon from usergate.com used as temporary logo asset; replace with official wordmark if provided by supplier.
IT оборудование и ПО,IT-инфраструктура,Корпоративные устройства,Интерактивное оборудование,BM Group,BM Group,bm-technology,https://bm-technology.ru/,,,manual_review_needed,medium,codex_it_p0_vendor_fill_20260702,"Official logo from bm-technology.ru; mapped only to interactive equipment, not broader IT categories."
IT-инфраструктура,IT-инфраструктура,IT-инфраструктура,IT оборудование и ПО,Systeme Electric,Systeme Electric,systeme-electric,https://systeme.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: IT 02.04, row 24. Logo source: official site."
IT-инфраструктура,IT-инфраструктура,IT-инфраструктура,IT оборудование и ПО,КИТ,КИТ,kit,https://www.ocs.ru/vendors/kit/,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: IT 02.04, row 12. Logo source: official site."
IT-инфраструктура,IT-инфраструктура,IT-инфраструктура,IT оборудование и ПО,Терек-Радио,Терек-Радио,terek-radio,https://terek-radio.ru/,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: IT 02.04, row 20. Logo source: official site."
IT-инфраструктура,IT-инфраструктура,Корпоративные устройства,"ПК, моноблоки, ноутбуки, планшеты, клиентские устройства",KVADRA,KVADRA,kvadra,https://квадра.рф/,,,manual_review_needed,high,official_site_header_asset_adapted_on_white_card,IT-инфраструктура: корпоративные клиентские устройства YADRO/KVADRA.
IT-инфраструктура,IT-инфраструктура,ПО и управление,Платформы разработки и сборки ПО,GitFlic,GitFlic,gitflic,https://gitflic.ru/,,,manual_review_needed,high,codex_p0_vendor_coverage_20260702,Official black SVG logo from gitflic.ru static assets; site title confirms source-code repository platform.
IT-инфраструктура,IT-инфраструктура,ПО и управление,Управление данными и аналитика,Postgres Professional,Postgres Professional,postgres-professional,https://postgrespro.ru/,,,manual_review_needed,high,codex_p0_vendor_coverage_20260702,Official blue SVG from Postgres Pro press materials.
IT-инфраструктура,IT-инфраструктура,ПО и управление,"Операционные системы, виртуализация и управление ИТ-инфраструктурой",Группа Астра,Группа Астра,gk-astra,https://astra.ru/,,,manual_review_needed,high,codex_p0_vendor_coverage_20260702,Official logo package downloaded from Astra press/logo materials page; using color SVG from official ZIP.
IT-инфраструктура,IT-инфраструктура,ПО и управление,Резервное копирование,Киберпротект,Киберпротект,kiberprotekt,https://cyberprotect.ru/,,,manual_review_needed,high,codex_p0_vendor_coverage_20260702,"Official SVG logo from cyberprotect.ru header; page title confirms backup, storage and data protection solutions."
IT-инфраструктура,IT-инфраструктура,Серверы и ЦОД,"Серверы, СХД, коммутаторы, инфраструктурные компоненты, рабочие станции",DEPO Computers,DEPO Computers,depo-computers,https://depo-computers.com/,,,manual_review_needed,high,official_site_og_logo_asset,"IT-инфраструктура: серверы, СХД, коммутаторы, компьютеры и рабочие станции."
IT-инфраструктура,IT-инфраструктура,"Серверы, СХД и ПО","Серверы, системы хранения, коммутаторы, ПО, интегрированные решения",YADRO,YADRO,yadro,https://yadro.com/,assets/img/logos/approved-top/yadro.png,https://yadro.com/,logo_ready,high,approved_top_logo_batch_20260729,Approved top-brand asset supplied in SITE NEW LOGO.zip.
Автоматизация / диспетчеризация,Автоматизация / диспетчеризация,Автоматизация / диспетчеризация,Автоматизация / диспетчеризация,MasterSCADA,MasterSCADA,masterscada,https://iek-digital.ru/,,,manual_review_needed,high,partner_catalog_backfill_20260702,Backfilled from confirmed partner source for catalog vendor coverage; official site/logo already tracked in partners data.
Акустические потолки,Акустические потолки,Акустические потолки,Акустические потолки,Ecophon,Ecophon,ecophon,https://www.ecophon.com/,,,manual_review_needed,high,partner_catalog_backfill_20260702,Backfilled from confirmed partner source for catalog vendor coverage; official site/logo already tracked in partners data.
