vendor_slug,vendor_name,reason,direction,group,area,type,status,notes
creavit,Creavit,source_noise_or_event,Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Мосбилд 2024,logo_ready,"Prepared from supplier table. Sheet: Мосбилд 2024, row 46. Logo source: official site."
kompaniya-magrin,"Компания ""МаГрин""",source_noise_or_event,Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Мосбилд 2024,logo_ready,"Prepared from supplier table. Sheet: Мосбилд 2024, row 36. Logo source: official site."
ooo-sest-lyuve,"ООО ""СЭСТ-ЛЮВЭ""",source_noise_or_event,Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Мосбилд 2024,logo_ready,"Prepared from supplier table. Sheet: Мосбилд 2024, row 74. Logo source: official site."
ooo-td-ruskompozit,ООО «ТД «РусКомпозит»,source_noise_or_event,Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Мосбилд 2024,logo_ready,"Prepared from supplier table. Sheet: Мосбилд 2024, row 13. Logo source: official site."
ooo-vek,ООО Век,source_noise_or_event,Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Мосбилд 2025,logo_ready,"Prepared from supplier table. Sheet: Мосбилд 2025, row 12. Logo source: official site."
staropetrovskoe,Старопетровское,source_noise_or_event,Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Мосбилд 2024,logo_ready,"Prepared from supplier table. Sheet: Мосбилд 2024, row 66. Logo source: official site."
holding-germetik-tsentr,"Холдинг ""Герметик Центр""",source_noise_or_event,Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Мосбилд 2024,logo_ready,"Prepared from supplier table. Sheet: Мосбилд 2024, row 20. Logo source: official site."
kurskiy-zavod-kompozitnyh-materialov,Курский Завод Композитных Материалов,no_catalog_group_match,Конструктивные решения,Конструктивные решения,Конструктивные решения,Композитная арматура,logo_ready,"Prepared from supplier table. Sheet: Композитная арматура , row 4. Logo source: official site."
ooo-uralskiy-asbotsementnyy-zavod,ООО «Уральский асбоцементный завод»,no_catalog_group_match,Конструктивные решения,Конструктивные решения,Конструктивные решения,Хризотилцементные листы,logo_ready,"Prepared from supplier table. Sheet: Хризотилцементные листы, row 7. Logo source: official site."
beland,БЕЛАНД,no_catalog_group_match,Технологическое оборудование,Технологическое оборудование,Технологическое оборудование,"Медицина, госпиталя",logo_ready,"Prepared from supplier table. Sheet: Медицина, госпиталя, row 53. Logo source: official site."
gk-modul,ГК «МОДУЛЬ»,no_catalog_group_match,Технологическое оборудование,Технологическое оборудование,Технологическое оборудование,"Медицина, госпиталя",logo_ready,"Prepared from supplier table. Sheet: Медицина, госпиталя, row 52. Logo source: official site."
oao-integral,ОАО ИНТЕГРАЛ,no_catalog_group_match,Технологическое оборудование,Технологическое оборудование,Технологическое оборудование,"Медицина, госпиталя",logo_ready,"Prepared from supplier table. Sheet: Медицина, госпиталя, row 62. Logo source: official site."
ooo-podolskiy-zavod-stenovyh-i-potolochnyh-paneley,ООО «ПОДОЛЬСКИЙ ЗАВОД СТЕНОВЫХ И ПОТОЛОЧНЫХ ПАНЕЛЕЙ»,no_catalog_group_match,Технологическое оборудование,Технологическое оборудование,Технологическое оборудование,"Медицина, госпиталя",logo_ready,"Prepared from supplier table. Sheet: Медицина, госпиталя, row 6. Logo source: official site."
ao-zavod-fiolent,АО «ЗАВОД «ФИОЛЕНТ»,no_catalog_group_match,ЭОМ,ЭОМ,ЭОМ,строит. инструм,logo_ready,"Prepared from supplier table. Sheet: строит. инструм, row 33. Logo source: official site."
ooo-nauchno-proizvodstvennoe-predpriyatie-elma-elektroniks,ООО «Научно Производственное Предприятие ЭЛМА ЭЛЕКТРОНИКС»,source_noise_or_event,ЭОМ,ЭОМ,ЭОМ,Электро 2025,logo_ready,"Prepared from supplier table. Sheet: Электро 2025, row 26. Logo source: official site."
